"","Time (s)","Trial 1","Trial 2","Trial 3","Trial 4","Trial 5","Trial 6","Trial 7","Trial 8","Trial 9","Trial 10","Trial 11","Trial 12","Trial 13","Trial 14","Trial 15","Trial 16","Trial 17","Trial 18","Trial 19","Trial 20","Trial 21","Trial 22","Trial 23","Trial 24","Trial 25","Trial 26","Trial 27","Trial 28","Trial 29","Trial 30","Trial 31","Trial 32","Trial 33","Trial 34","Trial 35","Trial 36","Trial 37","Trial 38","Trial 39","Trial 40"
"91",90,2,2,3,0,1,1,2,1,2,2,1,2,1,1,0,2,2,2,1,2,2,2,2,1,1,0,2,1,0,2,1,1,1,0,1,0,2,1,2,1
"92",91,1,2,1,0,2,2,1,2,0,1,2,1,3,0,2,2,2,2,1,1,1,1,2,1,1,2,1,1,2,1,2,1,0,0,3,1,0,2,1,2
"93",92,1,1,1,0,2,1,2,2,0,2,2,1,2,1,1,2,2,1,1,3,1,1,2,1,2,1,1,0,1,1,2,0,1,2,2,1,2,2,3,1
"94",93,1,3,2,0,2,2,2,1,1,1,1,1,3,1,1,0,2,1,1,1,1,0,1,3,3,1,1,2,2,1,0,0,2,1,2,1,1,1,1,2
"95",94,1,2,2,1,1,1,0,2,1,1,2,1,2,0,2,2,2,3,0,2,2,1,2,2,1,2,2,1,1,0,3,1,2,0,2,1,0,1,2,1
"96",95,1,1,3,1,3,2,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,0,0,1,2,2,2,2,0,0,2,1
"97",96,2,3,0,1,1,2,1,2,2,1,1,2,2,1,1,2,3,0,1,2,2,2,2,1,3,2,2,1,1,1,2,1,2,2,2,2,0,3,2,2
"98",97,1,1,2,2,3,2,1,2,2,2,2,1,2,1,2,1,1,2,2,2,2,1,2,2,3,2,1,1,0,1,1,1,2,1,3,2,1,2,2,2
"99",98,2,0,2,1,0,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,0,1,1,1,2,1,1,1,0,1,1,2,2,1,2,1,1
"100",99,1,3,1,2,3,2,0,1,2,2,1,2,3,1,2,2,2,0,1,1,2,1,2,1,2,2,1,1,2,1,1,1,2,1,2,2,1,1,3,3
"101",100,2,1,2,2,1,1,1,1,1,0,1,1,2,1,2,0,2,2,2,1,1,0,2,0,3,1,1,1,2,2,3,1,2,1,0,1,1,2,2,1
"102",101,0,2,2,2,2,2,1,1,1,2,0,1,1,1,1,3,1,2,1,2,0,2,1,2,1,1,1,0,2,2,2,1,2,2,0,2,1,2,2,2
"103",102,2,2,2,2,0,1,1,2,1,1,2,2,3,1,1,1,2,1,2,1,1,1,3,2,1,1,2,2,0,1,2,1,2,0,2,0,2,2,1,2
"104",103,1,1,2,2,2,2,1,2,2,2,1,1,2,1,0,1,1,2,1,1,1,1,1,3,2,2,1,1,2,1,1,0,1,3,1,1,2,1,1,1
"105",104,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,2,2,0,2,2,1,1,2,1,2,2,1,3,2,2,2,1,2,2,2,1,1,3,2,2
"106",105,1,2,1,0,2,2,2,0,2,3,1,0,2,2,2,1,1,2,0,2,0,2,2,1,2,1,2,1,1,1,1,0,2,2,2,1,1,1,1,2
"107",106,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2,1,1,2,2,1,3,1,1,1,1,3,1,2,1,2,2,1,2,1,2
"108",107,0,1,2,0,2,2,0,1,1,3,2,1,1,2,2,1,1,3,2,2,2,1,1,1,2,1,2,1,2,2,1,1,1,1,1,3,1,1,2,1
"109",108,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,0,1,1,1,1,2,1,3,1,1,1,1,2,1,1,2,2,2,2,1,2,0,2
"110",109,2,1,2,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,2,2,2,2,0,1,1,2,2,0,2,1,2,0,2,2,2,2,0,1,3,1
"111",110,1,1,2,1,2,1,0,1,1,2,1,1,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,1,1,1,2,0,1,1,1,1,2,2,2,1
"112",111,1,1,1,1,1,0,1,1,1,4,1,1,2,1,3,2,1,0,1,0,2,1,2,2,1,2,1,0,2,1,2,1,2,1,2,2,1,1,2,0
"113",112,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,0,2,1,0,0,1,2,2,2,1,3,1,2,1,2,2,1,1,1,1,2,2
"114",113,2,1,2,0,2,1,0,1,2,3,1,0,3,0,2,1,1,0,1,2,2,1,2,1,0,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"115",114,1,2,1,1,1,3,1,2,0,2,1,1,2,0,1,1,2,1,1,1,0,0,1,0,2,0,1,0,2,1,1,1,2,2,1,1,2,2,0,1
"116",115,0,2,1,1,2,1,1,1,1,2,2,0,2,1,0,2,1,1,1,2,1,1,2,2,2,1,2,2,1,1,3,1,2,1,1,1,0,2,2,1
"117",116,1,1,1,2,2,2,2,2,2,1,1,1,2,0,2,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,0,1,1,2,2,2,2,1,2
"118",117,1,1,1,2,2,2,1,1,2,2,0,2,2,1,2,2,1,2,0,1,1,1,1,0,2,1,2,0,2,1,1,1,1,2,0,2,0,1,0,2
"119",118,0,2,2,2,0,0,2,2,2,1,1,1,1,0,1,1,2,0,1,1,1,1,2,2,1,2,1,0,1,1,2,1,0,1,1,1,2,1,1,2
